id,name,type,entry_created,entry_updated,trend_description,industry,platform,is_active,trend_image
14,Q-Tip Eyeshadow Hack,Makeup,6/12/25 18:50,7/8/25 14:53,"TikTok’s latest beauty obsession? Dotting eyeshadow with Q-tips for a soft, effortless blend. This trend is all about using Q-tips to place precise pigment dots across the lid—then blending them out for a dreamy, gradient effect ✨

It’s beginner-friendly, oddly satisfying, and surprisingly effective—making it perfect for both glam girls and makeup minimalists.",1,tiktok,0,template_trends/q-tip_eyeshadow_hack.png
15,Viral Berry Brew,Beverage,6/12/25 18:51,7/8/25 14:59,"Say hello to the it-girl drink of the moment: the Blueberry Latte 💜 This viral concoction blends the cozy comfort of espresso with the sweet, fruity burst of blueberry syrup—served iced, swirled, and totally aesthetic.

It's giving café-core meets summer freshness, and creators are loving the unexpected flavor combo and the dreamy purple hues.",3,tiktok,0,template_trends/viral_berry_brew.png
17,Cottagecore Dream House,House Interior,6/14/25 5:28,7/17/25 14:59,"Step into a storybook—TikTok is falling in love with the Cottagecore Aesthetic House trend. Think vintage teacups, lace curtains, dried flowers, antique books, and warm wooden tones. It’s all about creating a home that feels like a cozy escape to the countryside, even if you're in the city.

This trend romanticizes slow living, nature-inspired decor, and that soft, quiet magic of home life—where every corner is curated for comfort and charm.",4,tiktok,0,template_trends/cottagecore_dream_house.png
16,Think Pink Kitchen,House Interior,6/14/25 5:28,7/8/25 15:00,"Move over neutrals—TikTok is going full Barbiecore in the kitchen. From blush-toned appliances to rose gold utensils and cotton-candy cabinets, the Pink Kitchen Trend is all about turning your cooking space into a dreamy, pastel paradise.

It’s cozy, playful, and totally aesthetic—perfect for creators showing off their inner homemaker with a touch of glam.",4,tiktok,0,template_trends/think_pink_kitchen.png
18,Time of Your Life,Book,6/14/25 5:29,7/8/25 14:59,"BookTok is buzzing—Jessa Hastings is back and readers are spiraling (in the best way). The upcoming release of Time of Your Life, set in her beloved Magnolia Parks universe, has fans counting down the days, re-reading every heartbreak, and romanticizing the chaos all over again.

This trend is all about aesthetic edits, emotional theories, and preparing to have your heart shattered beautifully once more. Whether you're Team Magnolia or just love messy, poetic love stories—this book drop is the moment.",2,tiktok,0,template_trends/time_of_your_life.png
19,Amazon Cloud Couch,Home Improvement,6/18/25 4:34,7/17/25 14:59,"TikTok’s coziest home upgrade has officially entered the chat: the Amazon Cloud Couch ☁️✨ Affordable, plush, and surprisingly luxe, this viral dupe is transforming living rooms everywhere—one dreamy cushion at a time.

This trend is all about showing off your space’s before and after, with creators turning basic setups into soft, minimalist sanctuaries. Add a throw blanket, a neutral palette, and boom—you’ve got that high-end, laid-back lounge vibe without the $$$.",4,tiktok,0,template_trends/amazon_cloud_couch.png
20,Not So Princess Nails,Beauty,6/18/25 4:35,7/8/25 14:56,"POV: You’ve been rocking the grunge, the chaos, the feral girl nails… then suddenly, princess-core nails are trending—soft pinks, glazed tips, bows, and pearls—and you're out here looking like you clawed your way out of a dungeon 🖤😂

This trend is all about showing off your unapologetically unprincessed nails in contrast to the dainty aesthetic that’s suddenly everywhere. It’s ironic, self-aware, and hilariously relatable.",1,instagram,0,template_trends/not_so_princess_nails.png
21,Huda Beauty Lip Contour Stain,Makeup Product,6/18/25 4:36,7/8/25 15:04,"Say hello to lip game perfection—TikTok is obsessed with the new Huda Beauty Lip Contour Stain, and for good reason. This viral product glides on like a dream, dries down to a natural-looking tint, and actually stays put—through coffee, kisses, and chaos 💄💥

Creators are loving the soft, blurred lip look that lasts all day, giving effortless definition without the harsh lines. Whether you’re going for a “clean girl” flush or a full-on overlined pout, this stain is making lips the main character.",1,tiktok,0,template_trends/huda_beauty_lip_contour_stain.png
22,Green Goddess Salad,Food Recipe,6/18/25 4:37,7/8/25 15:03,"FoodTok is in its leafy queen era—say hello to the viral Green Goddess Salad 🌿✨ This vibrant, crunchy mix of cabbage, cucumbers, scallions, and a creamy herby dressing is taking over feeds and plates everywhere.

Whether you’re scooping it with chips, wrapping it in lettuce, or just eating it straight from the bowl, this salad is the ultimate mix of healthy, satisfying, and aesthetic. It’s giving clean girl lunch meets snack board energy—and we’re all here for it.",3,tiktok,0,template_trends/green_goddess_salad.png
23,Hot Honey Hype,Foodtok,6/18/25 13:03,7/17/25 14:53,"These sweet-and-spicy sliders are taking over FoodTok with their irresistible mix of crispy chicken, buttery buns, and a sticky drizzle of hot honey. Easy to make and perfect for parties or cravings, this viral recipe is serving serious flavor and serious views.",3,tiktok,0,template_trends/hot_honey_hype.png
24,Cool Cucumber Craze,Food Recipe,6/18/25 13:13,7/8/25 14:58,"TikTok’s latest green obsession is crunchy, zesty, and dressed to impress. This cucumber salad is the ultimate glow-up for your veggies—tossed with vinegar, spices, and sometimes chili oil, it's giving fresh, fit, and flavor all in one bowl.",3,tiktok,0,template_trends/cool_cucumber_craze.png
25,Mash to Munch,Foodtok,6/18/25 13:21,7/17/25 14:53,"From soft to crispy, TikTok has flipped the script on comfort food. Mashed potatoes are getting a second act—as golden, crunchy fries.",3,tiktok,0,template_trends/mash_to_munch.png
26,Famous Whispers,Pop Culture,6/18/25 13:31,7/8/25 15:00,"Your favorite stars are ditching the spotlight for soft-spoken vibes. Whether they're whispering secrets, tapping on perfume bottles, or crunching snacks, celebrities doing ASMR is the unexpected trend giving fans a whole new way to connect—up close, personal, and oddly satisfying.",5,tiktok,0,template_trends/famous_whispers.png
27,Main Character on the Metro,POV,6/19/25 19:15,7/17/25 14:58,"Subway rides just got cinematic. This trend captures creators standing still while the train moves—hair tousled, coat swaying, eyes lost in thought—all set to the moody, electric beat of “Buzzcut Season” by Lorde 🎧

It’s giving indie film energy, quiet rebellion, and “don’t talk to me, I’m in a music video” vibes. Simple shot, powerful mood. The motion blur of the train, the stillness of the subject—it’s all about becoming the main character in transit.",5,tiktok,0,template_trends/main_character_on_the_metro.png
28,Fashion,Fashion Trends,6/20/25 17:12,7/8/25 15:01,"TikTok fashion trends are all about bold self-expression—think oversized and micro, dramatic layering, and quirky accessories that make a statement in a 15-second scroll. Summer 25 - initially a blend of Y2K nostalgia, thrifted aesthetics, and cutting-edge micro-trends keeps the looks fresh and hyper-curated for maximum visual impact.",6,tiktok,0,template_trends/fashion.jpg
29,Mini Shorts Comeback,Fashion Item,6/20/25 18:05,7/8/25 15:01,"Legs out, confidence up—mini shorts are back, and TikTok is strutting into summer with major throwback energy. From Y2K denim cut-offs to sleek, tailored minis, creators are embracing the bold, leggy look with unapologetic flair.

This trend is all about reviving that early 2000s edge—paired with chunky sneakers, baby tees, and oversized sunnies. Whether you're channeling model-off-duty or full Bratz doll fantasy, mini shorts are the statement piece of the season.",6,tiktok,0,template_trends/mini_shorts_comeback.png
30,Bandage Dress Renaissance,Fashion Dress,6/20/25 18:09,7/9/25 15:46,"The bodycon icon is back—bandage dresses are making a fierce return on TikTok, and it's giving 2010s glam meets modern confidence. Once a red carpet staple, these curve-hugging dresses are being reimagined with fresh styling, luxe textures, and unapologetic attitude.

Creators are reviving the look with strappy heels, slicked-back hair, and that “I’m the moment” energy. Whether it’s girls’ night out or glam-core content, the Bandage Dress Renaissance is all about bold silhouettes, confident curves, and main character energy.",6,tiktok,0,template_trends/bandage_dress_renaissance.png
31,Return of the Indie Sleaze,Fashion Look,6/20/25 18:10,7/17/25 14:53,"Grainy flash photos, smudged eyeliner, American Apparel, and chaotic nightlife energy—TikTok is officially bringing back the Indie Sleaze era. Think 2010 Tumblr meets underground concert vibes, where messy is cool, and fashion doesn’t try too hard (but totally does).

This trend is all about low-rise denim, vintage band tees, leather jackets, and that effortlessly unbothered attitude. Paired with gritty filters and retro party clips, creators are reviving the era of late-night Polaroids and It-Girl chaos—and loving every second of it.",6,tiktok,0,template_trends/return_of_the_indie_sleaze.png
32,Coquette Core,Fashion Aesthetic,6/20/25 18:11,7/17/25 14:52,"Lace, ribbons, blush tones, and a touch of flirtation—TikTok is deep in its Coquette era, and everything is soft, sweet, and a little bit mischievous. This aesthetic romanticizes hyper-femininity with vintage silhouettes, ballet flats, pearls, and bows galore.

The trend isn’t just about how you dress—it’s a whole mood: delicate handwriting, lipstick-stained teacups, and daydreaming like you’re the heroine of a 2000s Lana Del Rey music video. Whether you’re twirling in ruffles or pouting behind heart-shaped glasses, Coquette Core is all about embracing softness as strength.",6,tiktok,0,template_trends/coquette_core.png
33,Scrunchie Season,Fashion Item,6/20/25 18:11,7/17/25 14:52,"Say goodbye to minimal and hello to maxi volume—big scrunchies are the must-have summer accessory taking over TikTok. Fluffy, bold, and unapologetically fun, these oversized hairpieces are turning everyday ponytails into full-on main character moments.

From breezy beach days to soft coquette looks, creators are styling these statement scrunchies in every color, fabric, and vibe. It’s retro, it’s playful, and it’s the easiest way to upgrade your summer hair game.",6,tiktok,0,template_trends/scrunchie_season.png
35,Silent Agreement,POV,6/22/25 1:22,7/8/25 15:03,"In this trending POV format, creators reach out to shake someone’s hand — but it’s not just a greeting. It’s a wordless *contract*, sealed with a grip and a line of text that reveals the shared (and often hilariously specific or chaotic) agreement between them and the viewer. Whether it's a mutual decision to romanticize red flags, skip the gym again, or swear off texting first, the handshake becomes a visual punchline to a relatable pact. This trend plays on the simplicity of human connection and the humor in unspoken, universal deals — all from the first-person view.

Perfect for comedy, satire, or soft emotional twists, this trend turns a simple gesture into a viral language of mutual understanding.",5,tiktok,0,template_trends/silent_agreement.png
34,Summer Morning Diaries,Short Video Content,6/22/25 1:22,7/17/25 14:59,"Slow pours, sunlit sheets, and soft playlists—TikTok is embracing the calm with Summer Morning Diaries, a lifestyle trend capturing the beauty of intentional, peaceful starts to the day. From skincare rituals and matcha moments to journaling on the balcony, creators are turning their morning routines into cinematic mini-vlogs.

It’s not just content—it’s a vibe. These cozy, aesthetic clips are all about romanticizing the small things and reclaiming the slow, golden hours of summer.",4,tiktok,0,template_trends/summer_morning_diaries.png
37,A Million Different People,POV,6/22/25 1:23,7/17/25 14:55,"This cozy and aesthetic BookTok trend invites viewers into the timeline of someone’s reading life — one book at a time. Whether it’s a rom-com binge, fantasy spiral, or emotionally devastating reads back to back, this trend beautifully captures the phases of a reader’s journey. It’s not just about showing what you’ve read — it’s about visually telling the story of your stories. A perfect blend of aesthetic vibes, literary love, and satisfying transitions, this trend feels like flipping through the chapters of your soul in hardcover form.

Great for showcasing reading progress, themed reads, or even personal ""book eras.""",2,tiktok,0,template_trends/a_million_different_people.png
36,Glow Girl Summer,Makeup Style,6/22/25 1:23,7/17/25 14:56,"This trend is all about catching the sun — and keeping it on your face. The Glowy Summer Makeup trend has creators leaning into dewy skin, warm tones, glossy lips, and highlighter that looks like it's been bottled straight from golden hour. Think radiant cheekbones, sunkissed freckles, and that effortless, just-stepped-off-the-beach glow.

Set to dreamy music or summer anthems, these videos aren’t just tutorials — they’re soft flexes of luminous beauty and carefree energy. It’s less about contour and more about capturing light. Whether you’re bronzed or bare-faced with just a touch of shimmer, this trend celebrates the art of looking like you’re glowing from within… with a little help from your makeup bag.

Perfect for GRWM, no-foundation looks, or showcasing your favorite summer beauty products.",1,tiktok,0,template_trends/glow_girl_summer.png
38,Summer Berry Refresher,Beverage,6/22/25 1:24,8/21/25 5:42,"Say hello to summer’s new main character: the Starbucks Summer Berry Refresher — and it’s taking over your FYP like a splash of fruity serotonin. With vibrant pink and purple hues, floating berries, and that iconic green straw, this drink has quickly become the aesthetic accessory of the season.

In this trend, creators sip, review, or romantically film their first taste, often set to dreamy summer sounds and drenched in sunlight. Whether it’s a drive-thru vlog, a taste test with besties, or a hot girl walk with Starbies in hand, the Summer Berry Refresher isn’t just a drink — it’s a vibe, a mood, a moment.

Refreshing, photogenic, and totally TikTok-core, this trend blends the flavors of berry bliss with that undeniable Starbies culture.",3,tiktok,0,template_trends/summer_berry_refresher.png
39,The Scarf Comeback,Fashion Item,6/22/25 1:25,7/17/25 14:52,"The scarf is back — and it’s more than just neckwear. This trend marks the stylish return of a timeless accessory that TikTok has officially rebranded as the ultimate fashion chameleon. From headwraps and hair ties to tops, belts, and bag accents, creators are breathing new life into the silk square with endless styling hacks.

It’s part vintage, part Y2K, and all about versatility. Whether tied like an old-money headscarf on a boat, folded into a halter top for a summer night out, or knotted around a tote for that effortless chic vibe, scarves are stealing the spotlight.",6,tiktok,0,template_trends/the_scarf_comeback.png
40,Tomato Flight,Foodtok,6/22/25 9:26,7/17/25 14:53,"The “Tomato Flight” trend is TikTok’s juiciest summer food craze—creators slice up colorful heirloom tomatoes and top each one with unique combos (like mozzarella & basil, goat cheese & honey, or cream cheese & everything bagel seasoning). Each slice gets a taste test, and the reactions are part of the fun. Think charcuterie board, but all tomato. 🍅✨ #tomatoflight",3,tiktok,0,template_trends/tomato_flight.png
41,Time-Stamped Diaries,Time-stamped Vlog,6/23/25 12:20,7/17/25 14:59,"Welcome to the most satisfying peek into someone else's routine — one timestamp at a time. This trend captures creators documenting their daily lives in bite-sized moments, each marked with a specific time. From ""7:03 AM – Coffee & quiet"" to ""9:47 PM – Skincare & soft music,"" viewers are taken on a real-time journey through everything from mundane tasks to golden-hour magic.

Whether it’s a productive day-in-the-life, a cozy reset routine, or a chaotic slice of life, the timestamp format adds structure, intimacy, and a cinematic touch to everyday storytelling. It’s the perfect blend of aesthetic vibes and relatability — showing that even the smallest moments matter when strung together hour by hour.",4,tiktok,0,template_trends/time-stamped_diaries.png
42,I Wonder What's Inside,Marketing Concept,6/23/25 12:22,7/17/25 14:58,"This trend turns small business pride into a scroll-stopping showcase. It starts with the simple, intriguing line: ""I wonder what’s inside…"" — and suddenly, viewers are taken on a mini virtual tour through curated slideshows of products, shelves, packaging, and the shop’s unique vibe.

Whether it’s a cozy café, a handmade jewelry brand, a boutique clothing rack, or a scent-filled candle store, creators are giving followers a front-row look at the heart of their hustle. It’s part marketing, part storytelling — and all about aesthetic, ambition, and that personal touch.",5,tiktok,0,template_trends/i_wonder_whats_inside.png
43,Cherry Makeup,Makeup Style,6/23/25 12:23,7/17/25 14:56,"Soft, flushed, and just the right amount of juicy — the Cherry Makeup trend is the latest beauty obsession taking over TikTok. Think rosy red cheeks, glossy cherry-toned lips, and a youthful glow that feels straight out of a romantic daydream. Inspired by the ripe richness of cherries, this look is playful, feminine, and effortlessly flirty.

Creators are layering pink-red blush across cheeks and nose bridges, adding glistening highlights, and finishing with a pop of shiny red or berry lip gloss. The result? A look that’s equal parts fresh-faced and siren-coded — like you’ve just taken a bite of summer.",1,tiktok,0,template_trends/cherry_makeup.png
44,Mid-Year Reading Check,Book,6/23/25 12:32,7/17/25 14:55,"It’s the halfway mark of the year, and BookTok is clocking in with their Mid-Year Reading Check. In this trend, creators share a visual recap of the books they’ve read from January to June — stacking them, rating them, or flipping through covers like chapters in their own story.

Whether it's a humble five-book streak or a 50-book flex, this trend is all about celebrating the reading journey so far. Some highlight their favorites (or biggest flops), others track their progress toward yearly reading goals, and many simply use it to romanticize the act of finishing anything.",2,tiktok,0,template_trends/mid-year_reading_check.png
45,Smash Burger Tacos,Food Recipe,6/23/25 12:34,7/17/25 14:54,"TikTok’s latest food obsession is the Smash Burger Taco — a drool-worthy fusion that brings together the crispy goodness of a smashed beef patty and the handheld magic of a tortilla. This viral recipe has creators pressing seasoned ground beef directly onto tortillas, searing them to perfection, then stacking them high with melty cheese, pickles, onions, and that signature burger sauce.

It’s the perfect blend of fast food flavor and street taco style — crunchy, juicy, cheesy, and totally customizable. The trend is blowing up for its simplicity, satisfying sizzle, and mouthwatering results that make viewers say, “Okay, I need to try that now.”",3,tiktok,0,template_trends/smash_burger_tacos.png
46,Neapolitan Hair,Hairstyle,6/23/25 12:35,7/17/25 14:52,"The Neapolitan Hair trend is serving scoops of style — literally. Inspired by the classic trio of strawberry, vanilla, and chocolate, this bold and playful hair trend has taken over TikTok with its deliciously distinct color-blocking: soft pink, creamy blonde, and rich brunette shades blended in creative harmony.

Whether done in vertical panels, horizontal layers, or peekaboo sections, Neapolitan Hair is all about sweet contrast and unapologetic color expression. It’s a bold nod to early 2000s experimental styles with a modern, pastel-core twist — perfect for creators who want to turn heads and serve a look with flavor.",6,tiktok,0,template_trends/neapolitan_hair.png
47,"Life, But Narrated",Vlog,6/24/25 18:01,7/17/25 14:58,"In this trending TikTok format, creators are turning their everyday lives into cinematic stories with the help of a narrator voiceover. Whether it’s a humorous take, a soft reflection, or a dramatic twist, the narrator sound walks viewers through the creator’s life — adding a storytelling layer that makes even the smallest moments feel like part of a bigger plot.",5,tiktok,0,template_trends/life_but_narrated.png
48,There Was Once A Time,POV,6/24/25 18:01,7/17/25 14:58,"This emotional and reflective trend invites creators to share their personal glow-ups, transformations, or untold backstories with the powerful contrast of “This is who I am now… but there was once a time…”. Set to nostalgic or dramatic audio, the video often starts with a confident or peaceful clip of the current version of themselves, followed by flashbacks or emotional reveals from a very different chapter.

Whether it’s a mental health journey, a career switch, a style evolution, or a story of survival and growth, this trend captures the powerful arc of change. It's a moving blend of vulnerability and pride — a reminder that behind every strong, thriving person is a version of them that once struggled, hoped, or dreamed of better.

It’s TikTok’s way of saying: transformation is real, and every journey deserves to be seen.",5,tiktok,0,template_trends/there_was_once_a_time.png
50,Blush Butter Balms,Makeup Product,6/24/25 18:02,7/17/25 14:56,"The beauty world is buzzing — and TikTok can’t stop talking about the Summer Fridays Blush Butter Balms. Set to dreamy audio and soft aesthetics, this trend captures the excitement and countdown energy of a much-anticipated drop. Think swatches, packaging peeks, and “add to cart” declarations, all wrapped in a buttery, blush-toned vibe.",1,tiktok,0,template_trends/blush_butter_balms.png
49,It's Not Clocking To You,POV,6/24/25 18:02,7/17/25 14:58,"This trend captures the frustration of trying to explain that one thing — the thing that feels so obvious, so important, so deeply you — to someone who just doesn’t get it. With a dramatic or emotionally-charged audio playing in the background, creators go off in a half-sarcastic, half-serious rant, venting their confusion, passion, or disbelief that the other person still doesn’t understand.

Whether it’s about a niche obsession, a misunderstood feeling, or something hilariously specific (“how do you not see the vision?!”), this trend turns everyday exasperation into relatable, performative storytelling. It’s raw, expressive, often funny — and a safe space to finally say: “This makes sense in my head, okay?",5,tiktok,0,template_trends/its_not_clocking_to_you.png
53,Fisherman Core Fashion,Fashion Aesthetic,6/24/25 18:03,7/17/25 14:52,"Rugged meets effortlessly cool — welcome to Fisherman Core, the fashion trend that’s casting major style waves on TikTok. Inspired by coastal living, practical layering, and utility details, this look blends function with fashion: think bucket hats, cargo vests, windbreakers, oversized knits, waterproof gear, and lots of earth-toned textures.",6,tiktok,0,template_trends/fisherman_core_fashion.png
51,Shield of Sparrows,Book,6/24/25 18:03,7/17/25 14:55,"BookTok is in full obsession mode over the new literary phenomenon: Shield of Sparrows. This trend showcases creators clutching the book, reacting to jaw-dropping plot twists, crying over chapters, or giving spoiler-free rants that leave you desperate to read it. Whether it's the slow-burn romance, political intrigue, or fantasy worldbuilding — one thing is clear: this story hits.

With haunting quotes, annotated pages, aesthetic edits, and emotional reactions, readers are making it known — Shield of Sparrows isn’t just a book, it’s an experience. Whether you’ve finished it or you’re just about to crack open page one, this trend is your official welcome to the chaos, feels, and fandom of the year’s most talked-about read.",2,tiktok,0,template_trends/shield_of_sparrows.png
52,Watermelon Matcha,Beverage,6/24/25 18:03,7/17/25 14:54,"TikTok has officially crowned Watermelon Matcha as the drink of the season — and this trend is all about the juicy green-and-pink perfection that’s taking over everyone’s FYP. A refreshing twist on a classic favorite, this viral combo blends sweet watermelon juice with earthy matcha for a layered drink that’s as aesthetic as it is delicious.",3,tiktok,0,template_trends/watermelon_matcha.png
54,Emoji Identity,Photo Content,6/25/25 18:10,7/17/25 14:58,"This trend is the ultimate form of self-expression — no words, just vibes (and emojis). TikTokers are posting photos of themselves paired with a curated lineup of emojis that perfectly capture their energy, personality, and aesthetic. Whether it's 🌸📚🧋 for the soft girl reader or 🖤🕷️🎧 for the alt introvert, each combo tells a mini story of who you are in emoji form.",5,tiktok,0,template_trends/emoji_identity.png
55,I Could Never Be a Man,Lifestyle,6/25/25 18:10,7/17/25 14:59,"This trend is a celebration of the everyday magic, softness, strength, and subtle luxuries of womanhood. Set to calm, romantic, or aesthetic audio, creators post short lifestyle clips — making matcha, lighting candles, journaling in sunlight, or walking through farmer’s markets — overlaid with the bold yet playful statement: “I could never be a man.”

It’s not about comparison — it’s about embracing the full spectrum of feminine energy, from glam to grounded, from chaotic to calm. Whether it’s the joy of putting on lip gloss, romanticizing a solo grocery run, or simply being emotionally in tune, this trend is a love letter to the details of living life as her.",4,tiktok,0,template_trends/i_could_never_be_a_man.png
